"idJeuxComplet","idCatalogue","reference","stock","prixHT","ancienPrixHT","information","isNeuf","etatBoite","etatMateriel","regleJeu","don","timeDon","vente","timeVente","actif"
"46","96","96-46","1","700","0",NULL,NULL,"ÉTAT MOYEN","BON ÉTAT","SUR LA BOITE","0","0","7.00|ESPÈCES","1663500551","0"
"47","26","26-47","0","800","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","|CB","1657191540","0"
"48","711","711-48","1","800","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","8.00|ESPÈCES","1663511689","0"
"49","649","649-49","1","800","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"50","343","343-50","1","1500","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","15.00|ESPÈCES","1663488168","0"
"51","222","222-51","1","800","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","ORIGINALE","1","1648287762",NULL,NULL,"0"
"52","150","150-52","1","1000","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","10.00|ESPÈCES","1655589215","0"
"53","275","275-53","0","600","0",NULL,NULL,"ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","|CB","1667904250","0"
"54","259","259-54","1","700","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","7.00|ESPÈCES","1663496969","0"
"55","299","299-55","1","700","0",NULL,NULL,"ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"56","331","331-56","0","1400","0","Légères marques de pliure sur la boîte.",NULL,"ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","|CB","1653647878","0"
"57","248","248-57","1","400","0","Des écritures sur la boîte. Quelques marques d'usure. Rangement plastique abîmé à deux endroits",NULL,"ÉTAT MOYEN","ÉTAT MOYEN","ORIGINALE","0","0",NULL,NULL,"1"
"58","771","771-58","1","3900","0","Boîte déchirée sur un côté (scotch).","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"59","606","606-59","1","400","0",NULL,"0","BON ÉTAT","BON ÉTAT","SANS","0","0","4.00|ESPÈCES","1663511578","0"
"60","222","222-60","1","800","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"61","51","51-61","1","1050","0","1 coin du boîtier supérieur scotché.
Scotch sur le boîtier inférieur.","0","ÉTAT MOYEN","BON ÉTAT","IMPRIMÉE","0","0",NULL,NULL,"1"
"62","170","170-62","1","700","0","Petite déchirure sur le devant de la boîte.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"63","575","575-63","1","800","0","Jeu encore sous blister.","1","COMME NEUF","COMME NEUF","ORIGINALE","0","0",NULL,NULL,"1"
"64","739","739-64","1","300","0",NULL,"0","BON ÉTAT","BON ÉTAT","SANS","0","0",NULL,NULL,"1"
"65","731","731-65","1","500","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","5.00|ESPÈCES","1663500173","0"
"66","663","663-66","1","900","0","1 coin du boîtier supérieur scotché.","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"67","81","81-67","0","1900","0","Quelques coins de la boîte scotchés. Une inscription au crayon à l'intérieur de la boîte.","0","ÉTAT MOYEN","BON ÉTAT","SUR LA BOITE","0","0","|CB","1653373897","0"
"68","794","794-68","1","600","0",NULL,"0","BON ÉTAT","BON ÉTAT","SANS","0","0",NULL,NULL,"1"
"69","799","799-69","1","200","0","Scotch sur la boîte + manque un petit rabat","0","ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","2.00|ESPÈCES","1663511753","0"
"70","803","803-70","0","700","0",NULL,"0","BON ÉTAT","COMME NEUF","ORIGINALE","0","0","|CB","1650973066","0"
"71","795","795-71","1","250","0",NULL,"0","ÉTAT MOYEN","BON ÉTAT","IMPRIMÉE","0","0","2.50|ESPÈCES","1663485433","0"
"72","674","674-72","1","1000","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"73","662","662-73","1","700","0",NULL,"0","BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
